"X","gene_id","gene_name","gene_start","gene_end","gene_strand","gene_length","gene_description","tf_family","number_figure","T0.T360","T20.T360","T50.T360","T90.T360","T120.T360","T260.T360","Bd"
"BD_RS16170","BD_RS16170","BD_RS16170",3436119,3436529,"-",411,"bacteriohemerythrin && PF01814:Hemerythrin HHE cation binding domain","-",1,-0.940541111031906,-2.0809425922697,-4.77826930928695,-6.76635232800805,-7.1638759099792,-3.39567425236475,"Bd3532"
"BD_RS16060","BD_RS16060","BD_RS16060",3416640,3416861,"+",222,"hypothetical protein && -","-",1,0.547784116987455,-6.4548786570447,-8.88158076728065,-9.80362106599432,-10.1536165126261,-6.6107637808968,"S16060"
"BD_RS16020","BD_RS16020","BD_RS16020",3410408,3410809,"+",402,"hypothetical protein && -","-",1,0.811497507347732,-5.45259456121494,-5.68199555505138,-6.07834581467622,-6.13896212994685,-3.24806862472349,"Bd3501"
"BD_RS15870","BD_RS15870","BD_RS15870",3381862,3382359,"+",498,"chemotaxis protein CheW && PF01584:CheW-like domain","-",1,-0.102973324823682,-4.42415201108498,-5.49629608503459,-6.47030254497274,-7.5844098751646,-1.14255202037694,"Bd3471"
"BD_RS15845","BD_RS15845","BD_RS15845",3374600,3375361,"+",762,"cyclic nucleotide-binding domain-containing protein && PF00027:Cyclic nucleotide-binding domain","cNMP_binding",1,1.06033882450481,-4.65116463336201,-5.79587970966486,-6.40757542553676,-6.47834748508882,-5.0754133626184,"Bd3465"
"BD_RS14960","BD_RS14960","BD_RS14960",3191130,3191369,"+",240,"hypothetical protein && -","-",1,0.455429452956742,-5.71625106302792,-7.99682699660095,-9.1062312667601,-9.36291035567233,-4.94711319116967,"Bd3268"
"BD_RS14955","BD_RS14955","BD_RS14955",3186533,3191056,"+",4524,"tail fiber domain-containing protein && PF13884:Chaperone of endosialidase","-",1,0.905873797411683,-4.69673540678238,-5.4837870577287,-6.18025061668625,-6.24025931333837,-3.58104020447654,"Bd3267"
"BD_RS14585","BD_RS14585","BD_RS14585",3104853,3106031,"+",1179,"hypothetical protein && -","-",1,0.824721855413274,-5.57791663808825,-6.96885069426937,-8.01173435182898,-8.80314388220861,-5.10553447719675,"Bd3184"
"BD_RS14580","BD_RS14580","BD_RS14580",3101974,3104742,"+",2769,"tail fiber domain-containing protein && PF13884:Chaperone of endosialidase","-",1,0.784663868788314,-5.79921458644854,-6.74709905520149,-8.38023256873256,-8.52487186459879,-3.90974698657732,"Bd3182"
"BD_RS14575","BD_RS14575","BD_RS14575",3101411,3101977,"+",567,"hypothetical protein && -","-",1,0.335320491048613,-5.95763905046096,-7.72647045750959,-8.27981536438431,-8.67459877734883,-3.05382275199706,"Bd3181"
"BD_RS14570","BD_RS14570","BD_RS14570",3100534,3101292,"+",759,"hypothetical protein && -","-",1,0.918600428522355,-4.7189953325866,-6.9950020431617,-7.17621314828052,-6.848561925178,-0.96510321256295994,"Bd3180"
"BD_RS14490","BD_RS14490","BD_RS14490",3080103,3081941,"+",1839,"NHL repeat-containing protein && -","-",1,0.732860299910936,-4.80837081792697,-6.23465463804751,-5.54233443053607,-5.8061840301274,-3.34581707238922,"Bd3165"
"BD_RS14400","BD_RS14400","BD_RS14400",3056870,3057592,"+",723,"hypothetical protein && -","-",1,0.785495904737997,-4.80518126875181,-6.73423393848577,-7.90731418332519,-8.64793262732186,-3.55376150452476,"Bd3144"
"BD_RS14390","BD_RS14390","BD_RS14390",3054601,3055572,"-",972,"hypothetical protein && -","-",1,0.669903625768276,-4.68868555643833,-5.55047158528238,-6.85088886867259,-6.78210365362587,-1.28271673694397,"Bd3142"
"BD_RS14210","BD_RS14210","BD_RS14210",3009936,3010853,"+",918,"chemotaxis protein CheX && PF13690:Chemotaxis phosphatase CheX|PF00072:Response regulator receiver domain","Response_reg",1,0.311257569650461,-5.26811387426272,-6.36349497204067,-6.88208067001048,-6.5229379319518,-2.64695095083637,"Bd3101"
"BD_RS13160","BD_RS13160","BD_RS13160",2785252,2790165,"+",4914,"hemagglutinin/hemolysin-related protein && -","-",1,1.11229155013942,-4.06321797076368,-5.17732840737346,-5.23229066594261,-5.82178440822852,-4.11827396861142,"Bd2875"
"BD_RS13155","BD_RS13155","BD_RS13155",2783953,2785176,"+",1224,"hypothetical protein && -","-",1,0.637365121761386,-4.34557235632375,-5.50101848281252,-6.0721705683954,-6.69413872059448,-4.40270597770051,"Bd2874"
"BD_RS13150","BD_RS13150","BD_RS13150",2783519,2783956,"+",438,"pentapeptide repeat-containing protein && PF00805:Pentapeptide repeats (8 copies)","Pentapeptide",1,1.17327285132797,-4.63656861931651,-6.17363170596924,-8.01746798563711,-8.20647466407011,-4.78432080834336,"Bd2873"
"BD_RS13145","BD_RS13145","BD_RS13145",2781638,2783518,"+",1881,"hypothetical protein && -","-",1,1.5394415531617,-4.43242765168483,-6.03191848693359,-7.18846006209904,-8.45229471780575,-3.96326188072242,"Bd2872"
"BD_RS13135","BD_RS13135","BD_RS13135",2780126,2780758,"-",633,"hypothetical protein && -","-",1,1.1705606598782199,-4.67147559479543,-6.06813665446195,-7.57810660778959,-8.00830570854256,-4.55751612867699,"Bd2870"
"BD_RS12950","BD_RS12950","BD_RS12950",2734783,2735607,"-",825,"protein-glutamate O-methyltransferase CheR && PF03705:CheR methyltransferase, all-alpha domain|PF01739:CheR methyltransferase, SAM binding domain","CheR",1,0.291125683490816,-5.26292950692824,-6.77927965662107,-6.96503459726583,-7.64585447983279,-1.81469461975165,"Bd2830"
"BD_RS12815","BD_RS12815","spoVG",2712071,2712397,"+",327,"septation regulator SpoVG && PF04026:SpoVG","-",1,-0.265781955495197,-6.33852122616363,-6.27811691473576,-5.47596185082117,-6.06828249525602,-5.06965604493363,"Bd2801"
"BD_RS12530","BD_RS12530","BD_RS12530",2661728,2663611,"+",1884,"hypothetical protein && -","-",1,0.337019109953257,-5.81985092348355,-7.44612033747898,-7.8344810606443,-8.78827635194944,-3.6290004666785,"Bd2740"
"BD_RS12480","BD_RS12480","BD_RS12480",2646640,2649345,"-",2706,"hypothetical protein && -","-",1,0.848603321005282,-4.282910576152,-5.4932407136002,-5.96158047508856,-6.46232100238485,-1.82583160134049,"Bd2726"
"BD_RS12470","BD_RS12470","BD_RS12470",2645181,2646158,"-",978,"prepilin-type N-terminal cleavage/methylation domain-containing protein && -","-",1,0.668700887500593,-4.87194119443327,-6.5105438313749,-7.07362370374199,-6.92140021412484,-3.11157447194471,"Bd2724"
"BD_RS12230","BD_RS12230","BD_RS12230",2594436,2596394,"+",1959,"DUF2075 domain-containing protein && PF09848:Uncharacterized conserved protein (DUF2075)","-",1,-4.10924795346866,-6.4340854639026,-7.67505514938255,-7.69316060046967,-7.76035429030191,-1.18090377444485,"Bd2676"
"BD_RS12225","BD_RS12225","BD_RS12225",2593471,2594394,"+",924,"SPFH/Band 7/PHB domain protein && PF01145:SPFH domain / Band 7 family|PF16200:C-terminal region of band_7","-",1,-3.42227894165675,-6.69455535883601,-7.04380037464359,-7.01524774957254,-6.52741839697259,-0.235175139042071,"Bd2675"
"BD_RS12220","BD_RS12220","BD_RS12220",2593033,2593455,"+",423,"NfeD family protein && -","-",1,-3.06044083857414,-7.06925118245771,-6.48705792150895,-8.37493560368629,-8.53253502907016,-0.783323491329162,"Bd2674"
"BD_RS12215","BD_RS12215","BD_RS12215",2592095,2593012,"+",918,"type I restriction enzyme HsdR N-terminal domain-containing protein && PF13588:Type I restriction enzyme R protein N terminus (HSDR_N)","-",1,-2.68560237570868,-5.19645733155455,-7.03071699155506,-7.13581803382796,-7.04719963688927,-0.24261295459396,"Bd2673"
"BD_RS12210","BD_RS12210","BD_RS12210",2591598,2591984,"+",387,"hypothetical protein && -","-",1,-2.63820072271974,-6.88017388030676,-7.98963356845076,-7.90190210093479,-8.22357157723633,-2.59171427619168,"S12210"
"BD_RS12075","BD_RS12075","BD_RS12075",2565892,2568567,"+",2676,"hypothetical protein && -","-",1,1.24287896829074,-4.2234340335753,-5.37813874367265,-6.1799893850272,-7.09978719654266,-3.07004170059896,"Bd2644"
"BD_RS12055","BD_RS12055","BD_RS12055",2557164,2559995,"+",2832,"hypothetical protein && -","-",1,0.24020643299102,-5.11872020070818,-5.20372260072626,-5.88892456523462,-6.95316260848082,-1.71258150636005,"Bd2639"
"BD_RS11970","BD_RS11970","BD_RS11970",2538433,2539965,"+",1533,"methyl-accepting chemotaxis protein && PF00015:Methyl-accepting chemotaxis protein (MCP) signalling domain|PF11845:Protein of unknown function (DUF3365)","-",1,-0.494004621301964,-5.03506994117346,-5.97974204318299,-6.24432812713189,-7.07550295184673,-5.90272897130655,"Bd2622"
"BD_RS11815","BD_RS11815","BD_RS11815",2506949,2507680,"-",732,"hypothetical protein && -","-",1,0.0252714976692031,-5.14013078436595,-5.58136116842212,-6.68453059228274,-6.59287030337083,-2.14245278692311,"Bd2587"
"BD_RS11785","BD_RS11785","BD_RS11785",2493553,2494980,"-",1428,"fibrinogen-like YCDxxxxGGGW domain-containing protein && PF00147:Fibrinogen beta and gamma chains, C-terminal globular domain","Fibrinogen_C",1,0.540516977300758,-3.99280638707708,-5.65973663179658,-5.33772793023192,-5.61549906762023,-2.93056275544179,"Bd2581"
"BD_RS11715","BD_RS11715","BD_RS11715",2477730,2481179,"-",3450,"tail fiber domain-containing protein && PF13884:Chaperone of endosialidase","-",1,1.16143881045066,-4.01089802873972,-5.18132503436498,-5.73826058524738,-5.65475050043831,-5.36902472905639,"Bd2565"
"BD_RS11620","BD_RS11620","BD_RS11620",2454661,2456547,"-",1887,"S8 family serine peptidase && PF07238:PilZ domain|PF00082:Subtilase family","Peptidase_S8",1,0.649602215931506,-4.00409965572956,-5.27385844361494,-5.73595522193179,-6.38255405555184,-3.37261184262552,"Bd2545"
"BD_RS11560","BD_RS11560","BD_RS11560",2438460,2440304,"-",1845,"hypothetical protein && -","-",1,0.199425864575697,-3.83112351593241,-5.45567849681147,-5.87077381347574,-6.94101429458826,-1.88110368343966,"Bd2532"
"BD_RS11540","BD_RS11540","BD_RS11540",2433965,2434978,"-",1014,"hypothetical protein && -","-",1,0.624870333560502,-4.05214895468343,-5.1077199250774,-5.67104909397852,-6.12988534651262,-2.13480707936218,"Bd2528"
"BD_RS11520","BD_RS11520","BD_RS11520",2430832,2431509,"-",678,"PilZ domain-containing protein && PF07238:PilZ domain","-",1,0.288151371170128,-5.37180733649047,-5.35561829250648,-5.59171165558778,-5.90915782029798,-2.64577715837781,"Bd2524"
"BD_RS11265","BD_RS11265","BD_RS11265",2370638,2371315,"-",678,"hypothetical protein && -","-",1,-0.592315848464264,-3.16822610826158,-4.84927193463216,-5.84978941120981,-6.13257214177938,-2.31526511912182,"Bd2465"
"BD_RS11260","BD_RS11260","BD_RS11260",2369960,2370607,"-",648,"iron-containing redox enzyme family protein && PF14518:Iron-containing redox enzyme","-",1,-1.05538205353922,-3.70867653697317,-5.37093832227127,-6.12253438861496,-6.7021658411124,-2.93407643826437,"Bd2464"
"BD_RS11250","BD_RS11250","BD_RS11250",2368428,2369147,"+",720,"lytic transglycosylase domain-containing protein && PF01464:Transglycosylase SLT domain","-",1,-0.356960331359138,-6.71925466071979,-8.24393135550103,-9.40495593675981,-9.26522563636327,-6.59544100340238,"Bd2462"
"BD_RS11010","BD_RS11010","BD_RS11010",2312145,2314313,"+",2169,"FecR domain-containing protein && PF04773:FecR protein","-",1,0.490856640134588,-4.77126278397438,-6.08515654884851,-6.8998033046768,-7.51465256290576,-0.640172400493724,"Bd2405"
"BD_RS10910","BD_RS10910","BD_RS10910",2290013,2290624,"+",612,"hypothetical protein && -","-",1,-0.108863209368369,-4.68953032351884,-6.54372249332161,-7.37979919596455,-8.99537132060917,-5.86279303433172,"Bd2383"
"BD_RS10730","BD_RS10730","BD_RS10730",2247540,2250053,"+",2514,"hypothetical protein && -","-",1,0.617617198254504,-4.47245696394319,-5.55954137229697,-6.19639093444301,-5.70149804565162,-4.13273094296238,"Bd2346"
"BD_RS10640","BD_RS10640","BD_RS10640",2226522,2226899,"+",378,"hypothetical protein && -","-",1,0.204896584228159,-5.37355827055937,-6.37937420159459,-7.20386764880748,-6.90135682956056,-1.32099202756861,"Bd2326"
"BD_RS10635","BD_RS10635","BD_RS10635",2225577,2226521,"+",945,"HD-GYP domain-containing protein && PF01966:HD domain","HD",1,0.484780363079138,-5.04721200290276,-5.63853372198527,-6.05286561348768,-6.15276001610567,-1.13251061813079,"Bd2325"
"BD_RS10480","BD_RS10480","BD_RS10480",2189658,2189972,"+",315,"hypothetical protein && -","-",1,-1.36597178039427,-6.22301689739877,-7.40380469767361,-7.32010603841167,-8.81382375942955,-3.35653047499433,"Bd2295"
"BD_RS10475","BD_RS10475","BD_RS10475",2189223,2189648,"+",426,"hypothetical protein && -","-",1,-1.11145518169472,-6.13980937440784,-5.80512439872344,-6.13462200815552,-8.07341604754203,-2.8261248703438002,"Bd2293"
"BD_RS10470","BD_RS10470","BD_RS10470",2185613,2189140,"+",3528,"hemagglutinin && -","-",1,-0.296380631986041,-5.01542550443428,-5.87064115934834,-6.37657226918454,-7.23149291842346,-3.4489763643782,"Bd2292"
"BD_RS10115","BD_RS10115","BD_RS10115",2110072,2113059,"-",2988,"hypothetical protein && -","-",1,1.062774462375,-4.20265054899583,-5.70908817961972,-6.61132421401988,-7.29902559731648,-2.97479171283299,"Bd2212"
"BD_RS10110","BD_RS10110","BD_RS10110",2109611,2110072,"-",462,"hypothetical protein && -","-",1,0.923680394900088,-4.1800470033703,-5.42311694891636,-6.93551777276348,-7.2017238864732,-3.09101456408025,"Bd2211"
"BD_RS10105","BD_RS10105","BD_RS10105",2108628,2109614,"-",987,"hypothetical protein && -","-",1,1.06876089511269,-3.81222644725564,-5.5241985169247,-5.92695006639582,-7.07840212815565,-3.21321868275849,"Bd2210"
"BD_RS09810","BD_RS09810","BD_RS09810",2052524,2053189,"+",666,"PilZ domain-containing protein && PF07238:PilZ domain","-",1,0.127030668956186,-6.56356408694965,-8.31168814705458,-8.65418432644576,-9.73549689158283,-8.30547098949323,"Bd2147"
"BD_RS09630","BD_RS09630","BD_RS09630",2020229,2020819,"-",591,"hypothetical protein && -","-",1,0.159079812289851,-5.55428399620878,-6.00259553530577,-6.0075020145692,-6.97387033942838,-2.36925770663807,"Bd2109"
"BD_RS09230","BD_RS09230","BD_RS09230",1933609,1933941,"+",333,"hypothetical protein && -","-",1,-1.29665925269482,-4.36777829815474,-6.40843828602785,-6.22853450200164,-7.54425396677157,-6.13031814558476,"Bd2024"
"BD_RS09025","BD_RS09025","BD_RS09025",1891735,1892217,"+",483,"hypothetical protein && -","-",1,0.75794232544682,-5.21052689190319,-6.63489013881982,-7.46637128520181,-7.03168970341214,-3.36888248718017,"Bd1981"
"BD_RS08975","BD_RS08975","BD_RS08975",1881665,1881886,"-",222,"hypothetical protein && -","-",1,-0.80921200098896,-7.77061609409373,-9.57515600175524,-10.4265612708929,-11.2122513106987,-5.41869583144473,"Bd1970"
"BD_RS08910","BD_RS08910","BD_RS08910",1872257,1872520,"-",264,"hypothetical protein && -","-",1,-1.98855435808721,-4.45352134223464,-6.34780486278551,-5.79301222926409,-6.55626845105802,-7.1741643868091,"Bd1957"
"BD_RS08815","BD_RS08815","BD_RS08815",1848978,1850432,"-",1455,"hypothetical protein && -","-",1,-0.301564207778574,-4.94476051746197,-6.25721027203055,-6.47857547520993,-7.47105071951265,-1.27345672381451,"Bd1937"
"BD_RS08805","BD_RS08805","BD_RS08805",1846802,1847299,"-",498,"hypothetical protein && -","-",1,-1.06545815686261,-3.61399337356673,-5.53887714965604,-7.08850929555032,-7.11832648554413,-1.70273650170588,"Bd1935"
"BD_RS08605","BD_RS08605","BD_RS08605",1813183,1814718,"+",1536,"sigma-54-dependent Fis family transcriptional regulator && PF02954:Bacterial regulatory protein, Fis family|PF13185:GAF domain|PF00158:Sigma-54 interaction domain","Sigma54_activat",1,-0.112204076030528,-4.1788493657756,-4.93286270621965,-5.80738782212127,-5.49607272797491,-2.36409905197929,"Bd1891"
"BD_RS08600","BD_RS08600","BD_RS08600",1812821,1813003,"-",183,"hypothetical protein && -","-",1,-0.926484732633718,-2.29930744797086,-4.87036394063598,-5.69729082728785,-5.79222799385793,-6.73704894889533,"Bd1890"
"BD_RS08075","BD_RS08075","BD_RS08075",1704177,1704962,"+",786,"transporter substrate-binding domain-containing protein && PF00497:Bacterial extracellular solute-binding proteins, family 3","-",1,-0.377960852869817,-4.57349791365563,-5.6859209806764,-6.18787049339124,-6.38410947918875,-2.12646874735023,"Bd1771"
"BD_RS06705","BD_RS06705","BD_RS06705",1397618,1401331,"-",3714,"adventurous gliding motility protein U && -","-",1,0.331717476763513,-4.14508962194948,-5.73439478846703,-6.09315988920294,-6.23821196418097,-3.27215355124081,"Bd1478"
"BD_RS06700","BD_RS06700","BD_RS06700",1397355,1397603,"-",249,"hypothetical protein && -","-",1,0.488709610983866,-4.5639436047822,-5.9461620439495,-7.15825965474041,-7.26696713855414,-3.82725953073602,"Bd1477"
"BD_RS06510","BD_RS06510","BD_RS06510",1350795,1351904,"-",1110,"GGDEF domain-containing protein && PF00990:Diguanylate cyclase, GGDEF domain","GGDEF",1,0.422167707302233,-4.25884700328489,-5.78008187181571,-7.05749572828794,-7.94733330229252,-1.75776091228747,"Bd1434"
"BD_RS06505","BD_RS06505","BD_RS06505",1349707,1350618,"-",912,"S8 family peptidase && PF00082:Subtilase family","Peptidase_S8",1,-0.636696284233194,-7.54052021850822,-8.62700962073937,-9.86346071316897,-10.1982122010699,-9.25159562530141,"Bd1432"
"BD_RS06500","BD_RS06500","BD_RS06500",1349170,1349670,"-",501,"thermonuclease family protein && PF00565:Staphylococcal nuclease homologue","-",1,-1.1642685989829,-7.35107687975083,-8.30699017327533,-8.54283666290269,-7.87515943188608,-5.7392649809772,"Bd1431"
"BD_RS06495","BD_RS06495","BD_RS06495",1348780,1349100,"-",321,"glyoxalase/bleomycin resistance/dioxygenase family protein && PF12681:Glyoxalase-like domain","-",1,-1.48927558557444,-3.6989863784516,-5.58105514947449,-8.22190658282969,-5.17779916628627,-4.74109328834298,"Bd1430"
"BD_RS06435","BD_RS06435","BD_RS06435",1338822,1339091,"+",270,"hypothetical protein && -","-",1,-0.594903058730302,-4.77230158037119,-5.53287456793906,-5.45894865451888,-6.37142447658225,-5.05309242633951,"S06435"
"BD_RS06400","BD_RS06400","BD_RS06400",1331212,1331616,"+",405,"STAS domain-containing protein && PF01740:STAS domain","STAS",1,-0.78562010652317,-4.67420982020071,-5.87968723168885,-6.27868132797064,-6.88409588536686,-4.54344397317072,"Bd1409"
"BD_RS06175","BD_RS06175","BD_RS06175",1285020,1286390,"-",1371,"BspA family leucine-rich repeat surface protein && PF03382:Mycoplasma protein of unknown function, DUF285","-",1,0.186183296535016,-3.58451624525313,-5.5147646317594,-6.65720744188796,-7.09132653971385,-3.90792981403788,"Bd1360"
"BD_RS06050","BD_RS06050","BD_RS06050",1258434,1261889,"-",3456,"hypothetical protein && -","-",1,0.811136256111339,-4.66045648388627,-5.20841132039444,-5.73567736450606,-6.17480925640703,-2.45219502665905,"Bd1334"
"BD_RS05825","BD_RS05825","BD_RS05825",1215010,1216386,"-",1377,"S8 family peptidase && PF00082:Subtilase family","Peptidase_S8",1,0.506557856319344,-4.81719346647025,-6.502989542514,-7.53024977984632,-7.82436891861294,-2.53464024051835,"Bd1283"
"BD_RS05675","BD_RS05675","BD_RS05675",1185440,1186060,"+",621,"hypothetical protein && -","-",1,-0.937443405308445,-3.94669137369188,-5.76264425632223,-6.31553184576605,-6.88332193511711,-1.63355326882216,"Bd1248"
"BD_RS05670","BD_RS05670","BD_RS05670",1180442,1185127,"-",4686,"RCC1 domain-containing protein && PF00415:Regulator of chromosome condensation (RCC1) repeat","-",1,0.667599497535686,-5.74750505738626,-6.8105778140691,-7.93656004512273,-8.31162852722435,-4.69218024528162,"Bd1247"
"BD_RS05650","BD_RS05650","BD_RS05650",1176300,1176917,"+",618,"hypothetical protein && -","-",1,-0.376134344519731,-4.71290158680448,-6.6659993527043,-7.33955506771342,-7.59985858410277,-3.28266891644384,"Bd1240"
"BD_RS05560","BD_RS05560","BD_RS05560",1155825,1156622,"-",798,"hypothetical protein && -","-",1,-0.458016556368223,-4.64145436535555,-5.57459624694397,-5.57424310072845,-6.1168251987693,-1.74264380525121,"Bd1220"
"BD_RS05300","BD_RS05300","BD_RS05300",1103091,1104776,"+",1686,"DUF1501 domain-containing protein && PF07394:Protein of unknown function (DUF1501)","-",1,0.423119589545169,-3.85113205685132,-5.44968475544969,-5.93112176039098,-5.84845866393775,-1.81633768377961,"Bd1160"
"BD_RS05295","BD_RS05295","BD_RS05295",1101531,1103078,"+",1548,"hypothetical protein && -","-",1,0.412834424652905,-5.55201072721177,-7.5462708208094,-7.7213505102166,-8.30312764760559,-4.25860520153237,"Bd1159"
"BD_RS05225","BD_RS05225","BD_RS05225",1081661,1083283,"-",1623,"hypothetical protein && -","-",1,-0.837230765865095,-5.03695802175278,-5.21070809471339,-6.66522029566976,-5.74280323281634,-3.34691378230986,"Bd1141"
"BD_RS05210","BD_RS05210","BD_RS05210",1075670,1080547,"-",4878,"hypothetical protein && PF13540:Regulator of chromosome condensation (RCC1) repeat","-",1,1.31831649478856,-4.8211497932197,-6.27219164220539,-6.83209536679273,-7.41908674410357,-4.7337340320812,"Bd1137"
"BD_RS05190","BD_RS05190","BD_RS05190",1067944,1072377,"-",4434,"tail fiber domain-containing protein && PF13884:Chaperone of endosialidase","-",1,0.965871311064643,-4.18440506827046,-5.23578680588071,-5.37788136579216,-6.18672855672599,-3.31182450600064,"Bd1130"
"BD_RS05115","BD_RS05115","BD_RS05115",1049326,1049541,"+",216,"hypothetical protein && -","-",1,-0.370946038317962,-5.79997653365315,-7.36728262275229,-8.35098013358277,-9.13360273328913,-5.74112605327893,"Bd1115"
"BD_RS05065","BD_RS05065","BD_RS05065",1039468,1040223,"-",756,"hypothetical protein && -","-",1,1.04558744387699,-4.92217768605409,-5.23101588739327,-6.00022410773541,-6.3488433243638,-5.16646047091067,"Bd1104"
"BD_RS04665","BD_RS04665","BD_RS04665",961827,962369,"-",543,"transposase && PF01797:Transposase IS200 like","-",1,-0.0954920433265667,-4.04291362601712,-6.04026559028731,-5.71548473898081,-5.97967334543272,-4.92116669019236,"Bd1013"
"BD_RS04640","BD_RS04640","BD_RS04640",953282,953824,"-",543,"PilZ domain-containing protein && PF07238:PilZ domain","-",1,0.235334449166133,-5.85887709330516,-6.9316295317244,-7.80831205707221,-7.07082399878509,-3.1961797632021,"Bd1007"
"BD_RS04040","BD_RS04040","BD_RS04040",828327,829010,"+",684,"hypothetical protein && PF01706:FliG C-terminal domain","-",1,-0.134188065780653,-4.30123198005367,-6.42016668908803,-7.28376774591455,-8.44162101237344,-2.54465185560368,"Bd0876"
"BD_RS03875","BD_RS03875","raiA",794773,795123,"+",351,"ribosome-associated translation inhibitor RaiA && PF02482:Sigma 54 modulation protein / S30EA ribosomal protein","-",1,0.0361366830478102,-4.18938256136827,-5.4081917516405,-6.74895808476021,-7.1863514400446,-3.47205634310124,"Bd0848"
"BD_RS03870","BD_RS03870","BD_RS03870",794200,794679,"+",480,"hypothetical protein && -","-",1,0.321522423199833,-4.96280418565232,-6.08406889537077,-6.64082608455804,-7.16083894638347,-4.4977668892164004,"Bd0847"
"BD_RS03390","BD_RS03390","BD_RS03390",701124,702470,"+",1347,"hypothetical protein && -","-",1,0.479284949510763,-4.83435779363135,-6.17906950904153,-6.00700050138602,-6.40016861241017,-0.979144931034324,"Bd0739"
"BD_RS03145","BD_RS03145","BD_RS03145",635439,638642,"-",3204,"hemagglutinin/hemolysin-related protein && PF13754:Bacterial Ig-like domain (group 3)","-",1,0.47467881780372,-6.20539372432655,-7.49033994176735,-8.20701092562158,-8.72838487562168,-4.37100264847772,"Bd0688"
"BD_RS03025","BD_RS03025","BD_RS03025",613034,614683,"+",1650,"methyl-accepting chemotaxis protein && PF00015:Methyl-accepting chemotaxis protein (MCP) signalling domain","-",1,-0.0904522632721597,-4.2431079772522,-5.41146070763572,-6.13498641091115,-6.03247755918397,-3.35755356577764,"Bd0663"
"BD_RS02945","BD_RS02945","BD_RS02945",599120,599422,"-",303,"hypothetical protein && -","-",1,0.277229239266305,-4.27957896191659,-5.97591556129627,-7.45393714923559,-7.39023202956211,-1.21111860098774,"Bd0644"
"BD_RS02780","BD_RS02780","BD_RS02780",570077,570451,"+",375,"flagellar protein FlaG && PF03646:FlaG protein","-",1,0.284096765166849,-5.62347523437568,-6.50176727557066,-7.98588525786087,-7.18029504265776,-1.71477730031071,"Bd0609"
"BD_RS02750","BD_RS02750","BD_RS02750",562130,562954,"+",825,"flagellin && PF00700:Bacterial flagellin C-terminal helical region|PF00669:Bacterial flagellin N-terminal helical region","-",1,-0.167021006000773,-4.75121995286261,-6.02223416906972,-7.20563297320106,-8.24718758759361,-4.56835174696004,"Bd0604"
"BD_RS02590","BD_RS02590","BD_RS02590",527841,528515,"-",675,"response regulator transcription factor && PF00072:Response regulator receiver domain|PF00486:Transcriptional regulatory protein, C terminal","Response_reg",1,0.194191131574648,-5.45904290778195,-6.70375830042308,-7.45428069347463,-7.39768993272789,-4.09413305322913,"Bd0569"
"BD_RS02515","BD_RS02515","BD_RS02515",510983,512911,"-",1929,"hypothetical protein && -","-",1,0.664530515751406,-5.09512501919952,-6.95060884864023,-7.7979093454343396,-7.6795401333546804,-4.70021911624159,"Bd0551"
